station_id,station_name,lat,lon
8730667,"Alabama Point, AL",30.279,-87.555
8739803,"Bayou La Batre Bridge, AL",30.406,-88.248
8731952,"BON SECOUR, AL",30.303,-87.735
8737138,"Chickasaw Creek, AL",30.782,-88.074
8736897,"Coast Guard Sector Mobile, AL",30.648,-88.058
8735184,"DAUPHIN ISLAND (TEMP), AL",30.252,-88.08
8735181,"Dauphin Island Hydro, AL",30.251,-88.079
8735180,"Dauphin Island, AL",30.25,-88.075
8735391,"Dog River Bridge, AL",30.565,-88.088
8735523,"East Fowl River Bridge, AL",30.444,-88.114
8731439,"Gulf Shores, ICWW, AL",30.28,-87.684
8731269,"GULF SHORES, AL",30.248,-87.668
8737373,"Lower Bryant Landing, AL",30.978,-87.873
8733839,"Meaher State Park, Mobile Bay, AL",30.667,-87.936
8737048,"Mobile State Docks, AL",30.705,-88.04
8735587,"NORTH POINT, DAUPHIN ISLAND, AL",30.258,-88.113
8730849,"PETERSON POINT, WOLF BAY, AL",30.355,-87.6
8733821,"Point Clear, Mobile Bay, AL",30.487,-87.935
8732828,"Weeks Bay, Mobile Bay, AL",30.417,-87.825
8738043,"West Fowl River Bridge, AL",30.377,-88.159
9461380,"Adak Island, AK",51.863,-176.632
9455120,"AGNES COVE,",59.773,-149.588
9456901,"AGUCHIK ISLAND, KUKAK BAY,",58.29,-154.27
9455145,"AIALIK BAY, NORTH END,",59.953,-149.715
9455146,"AIALIK SILL, AIALIK BAY,",59.885,-149.718
9468283,"Akeftapak, St. Lawrence Island, AK",63.719,-171.645
9462719,"Akun Cove, Akun Island, AK",54.233,-165.533
9462694,"Akutan, Alaska, AK",54.133,-165.8
9457804,"Alitak,",56.897,-154.248
9455606,"Anchor Point, Cook Inlet,",59.772,-151.867
9451317,"Anchor Point,",56.638,-132.927
9455921,"ANCHORAGE (BACKUP ADR),",61.238,-149.888
9455920,"Anchorage, AK",61.238,-149.89
9452141,"ANNEX CREEK ENTRANCE,",58.317,-134.1
9454794,"Applegate Island,",60.623,-148.165
9461710,"Atka,",52.232,-174.173
9454755,"Bainbridge Point,",60.197,-148.042
9451625,"Baranof, Warm Spring Bay,",57.088,-134.825
9452318,"Barlow Cove,",58.322,-134.878
9494935,"Barrow Offshore,",71.36,-156.73
9499176,"Barter Island, AK",70.129,-143.611
9455128,"BEAR COVE, AIALIK PENINSULA, KENAI PENIN,",59.802,-149.615
9455595,"Bear Cove, Kachemak Bay,",59.725,-151.023
9450906,"BECK ISLAND, CLARENCE STRAIT,",56.047,-132.862
9451287,"Beecher Pass,",56.595,-132.987
9466477,"Bethel, Kuskokwim River, AK, AK",60.8,-161.75
9450623,"Big Salt Lake,",55.6,-132.95
9462645,"Biorka Village, Biverly Inlet,",53.829,-166.216
9459251,"Bird Island, Shumagin Bank, AK",54.835,-159.76
9465182,"BLACK ROCK, WALRUS IS BRISTOL B,",58.708,-160.188
9454907,"BLACKSTONE BAY, PR. WILLIAM SOUND,",60.765,-148.523
9450973,"Blashke Island,",56.127,-132.895
9454381,"BLIGH ISLAND, T-16,",60.807,-146.798
9454818,"BLUE FjORD, PORT NELLIE JUAN,",60.492,-148.242
9452378,"Boat Harbor,",58.628,-135.165
9455777,"BOULDER POINT, AK",60.777,-151.245
9451012,"Bradfield Canal, AK",56.183,-131.572
9462676,"Broad Bight, AK",54.065,-165.937
9450949,"BURNETTE INLET, ETOLIN ISLAND,",56.073,-132.478
9450914,"Burrough Bay, Behm Canal,",56.038,-131.095
9454374,"Busby Island,",60.898,-146.782
9451074,"BUSHY ISLAND, SNOW PASSAGE,",56.277,-132.985
9455151,"CAMP COVE, HARRIS PENNINSULA,",59.693,-149.748
9451781,"CANNERY COVE, PYBUS BAY,",57.307,-134.133
9462941,"Cape Chunak, AK, AK",55.064,-163.534
9464961,"CAPE CONSTANTINE, NUSHAGAK PENINSULA,",58.522,-159.152
9465988,"Cape Corwin GPS Tide Buoy, AK",60.005,-165.591
9490096,"Cape Espenberg, Kotzebue Sound, AK",66.586,-164.251
9454329,"Cape Hichinbrook,",60.238,-146.648
9455711,"Cape Kasilof,",60.337,-151.38
9490571,"Cape Krusenstern, AK",67.054,-163.321
9465137,"CAPE PEIRCE, WEST SIDE,",58.627,-161.837
9462787,"Cape Sarichef, Unimak Island,",54.6,-164.928
9465601,"Carter Bay, Kuskokwim Bay, AK",59.378,-162.029
9458907,"Castle Bay,",56.232,-158.347
9458849,"Chankliut Island,",56.147,-158.107
9454777,"CHENEGA ISLAND (S.W. END),",60.283,-148.113
9458945,"CHIGNIK LAGOON MAIN CHANNEL,",56.323,-158.515
9458917,"CHIGNIK, ANCHORAGE BAY,",56.297,-158.4
9452421,"CHILKAT INLET,",59.17,-135.4
9455735,"CHINULNA POINT, COOK INLET,",60.503,-151.283
9458293,"Chirikof Island, AK",55.808,-155.74
9458519,"Chowiet island,",56.052,-156.698
9465261,"CLARKS POINT, NUSHAGAK BAY,",58.848,-158.552
9455558,"COAL POINT,",59.601,-151.411
9454851,"COCHRANE BAY, PR. WILLIAM SOUND,",60.663,-148.357
9459949,"Cold Bay, AK",55.208,-162.698
9454460,"Columbia Glacier,",61.023,-147.085
9452682,"Composite Island, Glacier Bay,",58.888,-136.573
9454050,"Cordova, AK",60.558,-145.755
9451335,"COSMOS POINT,",56.663,-132.617
9452346,"Cove Point, AK",58.752,-135.028
9450551,"CRAIG,",55.488,-133.142
9455159,"CRATER BAY, HARRIS BAY,",59.713,-149.787
9452082,"CRIB POINT, PORT SNETTISHAM, STEPHENS PA,",58.097,-133.742
9450296,"Custom House Cove, Mary Island,",55.1,-131.217
9466931,"Dall Point, AK",61.532,-166.148
9469751,"Deering, AK",66.097,-162.74
9453196,"DISENCHANTMENT BAY,",60.047,-139.555
9459758,"Dolgoi Harbor, Dolgoi Island,",55.122,-161.792
9451376,"Dorothy Cove,",56.722,-135.075
9457393,"Dovolno Point, Kizhuyak Bay,",57.739,-152.875
9450998,"Dry Pass, EL Capitan Passage,",56.163,-133.413
9450286,"Dunbar Inlet GPS Tide Buoy, AK",55.088,-132.816
9466012,"Eastern Nunivak Island, AK",60.043,-165.681
9450997,"EL Capitan Passage,",56.163,-133.33
9452635,"ELFIN COVE, PORT ALTHORP (BACKUP),",58.193,-136.343
9452634,"Elfin Cove,",58.195,-136.347
9468863,"ELIM, NORTON BAY,",64.617,-162.248
9451706,"ELIZA HARBOR, FREDERICK SOUND,",57.188,-134.287
9451438,"Entrance Island,",56.812,-133.787
9450251,"Entrance to Windy Cove, AK",55.035,-133.024
9454757,"ESHAMY LAGOON, KNIGHT ISLAND PASSAGE, AK",60.462,-148.045
9452437,"EXCURSION INLET (SOUTH END),",58.417,-135.447
9452328,"False Bay, Chatham Strait,",57.967,-134.935
9462955,"False Pass, Unimak Island,",54.858,-163.407
9455914,"FIRE ISLAND (BACKUP),",61.173,-150.205
9455912,"Fire Island, Cook Inlet, AK",61.173,-150.213
9498381,"FLAXMAN ISLAND, ARCTIC, AK",70.185,-146.05
9452321,"FUNTER, MANSFIELD PENINSULA,",58.255,-134.895
9457726,"Geese Island GPS Tide Buoy, AK",56.595,-153.996
9451421,"Golf Island,",56.787,-135.393
9469833,"Goodhope Bay,",66.23,-163.904
9455963,"Goose Creek, Cook Inlet, AK",61.393,-149.847
9454807,"GRANITE MINE (BACKUP),",60.95,-148.212
9454806,"GRANITE MINE,",60.95,-148.212
9454153,"GRAVINA RIVER,",60.768,-146.078
9462705,"Green Bight, AK",54.11,-165.661
9454751,"Guguak,",60.1,-148.038
9454824,"HARRIMAN FIORD,",61.035,-148.313
9452294,"Hawk Inlet,",58.085,-134.777
9452292,"HAWK INLET,",58.127,-134.758
9466153,"Helmick Point,",60.27,-162.41
9459163,"Herendeen Island, Shumagin Islands,",55.066,-159.419
9451634,"HERRING BAY, FREDERICK SOUND,",57.113,-134.38
9454691,"HERRING POINT, KNIGHT ISLAND, PR WIL SND,",60.475,-147.792
9465173,"HIGH ISLAND, BRISTOL BAY,",58.722,-160.427
9452067,"HOLKHAM BAY, STEPHENS PASSAGE,",57.76,-133.603
9450544,"Hollis Anchorage, Kasaan Bay,",55.48,-132.645
9455557,"HOMER,",59.603,-151.42
9452438,"Hoonah, Port Fredrick, AK",58.108,-135.444
9458964,"Hump Island, Kuiukta Bay,",56.113,-158.598
9450364,"Hydaburg, Sukkwan Strait,",55.202,-132.823
9453472,"ICY BAY ENTRANCE, ZONING GAUGE A,",59.858,-141.663
9453471,"ICY BAY ENTRANCE, ZONING GAUGE B,",59.858,-141.655
9469626,"Ikpek Lagoon, AK",65.893,-167.273
9462961,"ISANOTSKI STRAIT ENTRANCE, AK",54.778,-163.364
9457634,"Japanese Bay, Kodiak Island,",56.96,-153.687
9453215,"JOHNSTONE PASSAGE,",59.582,-139.702
9452210,"Juneau, AK",58.299,-134.411
9451528,"Kake Harbor, Keku Strait, AK",56.948,-133.895
9455732,"KALIGAN ISLAND (NORTH END), COOK INLET,",60.512,-151.952
9458365,"KANATAK LAGOON, PORTAGE BAY,",57.52,-156.052
9450581,"Kasaan Bay,",55.535,-132.397
9455517,"Kasitsna Bay, Kachemak Bay,",59.468,-151.565
9468261,"Kavalghak Bay, AK, AK",63.683,-171.75
9450460,"Ketchikan, AK",55.332,-131.626
9453444,"Kichyatt Point,",60.027,-141.367
9465953,"Kinak Bay, AK",59.948,-164.211
9459881,"King Cove,",55.06,-162.326
9454951,"KINGS BAY INSIDE, PRINCE WILLIAM SOUND,",60.457,-148.665
9491247,"Kivalina Lagoon, AK",67.727,-164.532
9491253,"Kivalina, AK",67.727,-164.592
9457292,"Kodiak Island, AK",57.73,-152.514
9457283,"KODIAK, ST PAULS HARBOR,",57.745,-152.483
9490424,"Kotzebue, AK",66.902,-162.582
9450913,"Kuiu Island, Affleck Canal,",56.037,-134.115
9458819,"KUJULIK BAY (NORTH SHORE),",56.613,-157.983
9465265,"KULUKAK POINT,",58.84,-159.647
9458705,"KUMLIK ISLAND (BACKUP),",56.617,-157.492
9465911,"Kwigillinok, AK",59.88,-163.166
9469982,"Lagoon at 165 West,",66.462,-165.055
9457724,"Larsen Bay, Kodiak Island, AK, AK",57.53,-153.99
9454713,"Latouche,",60.053,-147.907
9451422,"LECONTE BAY,",56.788,-132.502
9452569,"LEMESURIER ISLAND (BACKUP),",58.313,-136.037
9465419,"LEVELOCK, KVICHAK RIVER,",59.113,-156.832
9452336,"LINCOLN ISLAND, FAVORITE CHANNEL,",58.498,-134.965
9450625,"Lindeman Cove,",55.602,-132.512
9469541,"Little Diomede Island, AK",65.757,-168.95
9466328,"Lomavik, AK",60.554,-162.297
9454825,"LONG BAY ENTR, CULROSS PASSAGE,",60.692,-148.263
9469460,"Lopp Lagoon West,",65.625,-168.025
9469338,"LOST RIVER, SEWARD PENINSULA,",65.39,-167.145
9454642,"LOUIS BAY,",60.462,-147.672
9454674,"Macleod Harbor,",59.89,-147.795
9451152,"Madan Bay,",56.392,-132.169
9450753,"Magnetic Point, Union Bay, Earnest Sound, AK",55.788,-132.191
9450466,"Mckenzie Inlet,",55.358,-132.368
9466217,"Mekoryuk, Mekoryuk River Entrance, AK",60.417,-166.167
9464075,"Meshik, Port Heiden, AK",56.908,-158.685
9450314,"Metlakatla, Port Chester, AK,",55.128,-131.567
9459016,"Mitrofania Island,",55.89,-158.82
9454616,"Montague Island,",60.025,-147.592
9451247,"Monte Carlo Island,",56.535,-133.767
9455824,"MOOSE POINT,",60.963,-150.673
9453443,"Moraine Bay,",59.93,-141.363
9452584,"Muir Inlet, Glacier Bay,",58.913,-136.108
9457407,"Nachalni Island,",57.978,-152.925
9458779,"NAKCHAMIK ISLAND, CHIGNIK BAY,",56.352,-157.812
9465203,"Naknek, AK",58.732,-156.983
9465283,"NE SIDE SUMMIT ISLAND, TOGIAK BAY A,",58.847,-160.21
9457258,"NEAR ISLAND,",57.775,-152.403
9466298,"Nelson Island, Tooksook Bay, AK",60.517,-165.133
9462948,"NEUMANS COVE, AK",54.967,-163.44
9455760,"Nikiski, AK",60.683,-151.398
9462450,"Nikolski, AK",52.941,-168.871
9455653,"Ninilchik, Cook Inlet,",60.055,-151.682
9468756,"Nome, Norton Sound, AK",64.495,-165.44
9455869,"North Foreland,",61.043,-151.163
9452005,"North Shore Upper Endicott Arm,",57.522,-133.055
9468039,"Northeast Cape, St. Lawrence Island,",63.317,-168.967
9450642,"Northern Carroll Inlet GPS Tide Buoy, AK",55.629,-131.363
9455178,"Northwest Passage,",59.748,-149.9
9450711,"Nossuk Bay, AK",55.722,-133.35
9456717,"NUKSHAK ISLAND, SHELIKOF STRAIT,",58.392,-153.958
9467551,"Nunam Iqua (Sheldon Point), AK",62.533,-164.845
9457527,"OLD HARBOR, KODIAK ISLAND, AK",57.203,-153.304
9497147,"OLIKTOK, BEAUFORT SEA, AK",70.512,-149.867
9452184,"OLIVER INLET, PORTAGE,",58.108,-134.31
9469515,"Outside Lopp Lagoon,",65.729,-168.032
9457287,"Ouzinkie, Spruce Island,",57.922,-152.498
9451346,"Papke?s Landing,",56.677,-132.933
9452611,"Pelican Harbor, Lisianski Inlet, AK,",57.958,-136.227
9454561,"Perch Point,",60.127,-147.395
9455427,"PERL ISLAND,",59.13,-151.697
9454721,"PERRY ISLAND (SOUTH BAY),",60.672,-147.932
9465396,"Platinum, AK, AK",59.047,-161.818
9452516,"POINT ADOLPHUS,",58.287,-135.803
9454814,"Point Erlington, Erlington Island,",59.938,-148.227
9451005,"POINT HARRINGTON, CLARENCE STRAIT,",56.178,-132.697
9454671,"POINT HELEN, KNIGHT ISLAND,",60.153,-147.767
9491873,"Point Hope,",68.342,-166.808
9453210,"POINT LATOUCHE, YAKUTAT BAY,",59.903,-139.627
9493300,"Point Lay, AK,",69.745,-163.064
9451263,"Point Lockwood,",56.558,-132.963
9455866,"Point Possession,",61.037,-150.413
9469237,"Point Spencer, Port Clarence,",65.257,-166.847
9450467,"Polk Inlet,",55.358,-132.485
9458471,"Poltava Island,",57.013,-156.483
9466057,"Popokamute (Kokokamute), Kuskokwim River, AK",60.123,-162.5
9451054,"Port Alexander,",56.247,-134.648
9454673,"PORT AUDREY,",60.343,-147.768
9454511,"Port Chalmers,",60.242,-147.249
9455428,"PORT CHATHAM,",59.213,-151.728
9455437,"Port Graham,",59.35,-151.827
9452542,"Port Gustavus,",58.382,-135.918
9457391,"Port Lions, AK, AK",57.873,-152.867
9455934,"Port Mackenzie,",61.268,-149.917
9463502,"Port Moller,",55.986,-160.574
9457261,"PORT OF KODIAK,",57.783,-152.428
9465056,"PROTECTION POINT, NUSHAGAK BAY,",58.5,-158.712
9451936,"Provorotni Island,",57.515,-135.6
