station_id,station_name,lat,lon,has_predictions,tidal_range,max_level,min_level,range_size
8730667,"Alabama Point, AL                                                 ",30.279,-87.555,1,1.636,4.019,2.383,S
8739803,"Bayou La Batre Bridge, AL                                         ",30.406,-88.248,1,3.209,29.127,25.918,S
8731952,"BON SECOUR, AL                                                    ",30.303,-87.735,0,,,,
8737138,"Chickasaw Creek, AL                                               ",30.782,-88.074,1,2.789,26.83,24.041,S
8736897,"Coast Guard Sector Mobile, AL                                     ",30.648,-88.058,1,2.467,30.734,28.267,S
8735184,"DAUPHIN ISLAND (TEMP), AL                                         ",30.252,-88.080,0,,,,
8735181,"Dauphin Island Hydro, AL                                          ",30.251,-88.079,1,2.74,4.788,2.048,S
8735180,"Dauphin Island, AL                                                ",30.250,-88.075,1,2.739,4.758,2.019,S
8735391,"Dog River Bridge, AL                                              ",30.565,-88.088,1,3.11,31.26,28.15,S
8735523,"East Fowl River Bridge, AL                                        ",30.444,-88.114,1,2.931,15.63,12.699,S
8731439,"Gulf Shores, ICWW, AL                                             ",30.280,-87.684,1,2.368,29.947,27.579,S
8731269,"GULF SHORES, AL                                                   ",30.248,-87.668,0,,,,
8737373,"Lower Bryant Landing, AL                                          ",30.978,-87.873,1,3.011,22.485,19.474,S
8733839,"Meaher State Park, Mobile Bay, AL                                 ",30.667,-87.936,1,2.97,31.839,28.869,S
8737048,"Mobile State Docks, AL                                            ",30.705,-88.040,1,3.113,3.612,0.499,S
8735587,"NORTH POINT, DAUPHIN ISLAND, AL                                   ",30.258,-88.113,0,,,,
8730849,"PETERSON POINT, WOLF BAY, AL                                      ",30.355,-87.600,0,,,,
8733821,"Point Clear, Mobile Bay, AL                                       ",30.487,-87.935,1,2.999,30.403,27.404,S
8732828,"Weeks Bay, Mobile Bay, AL                                         ",30.417,-87.825,1,2.778,32.308,29.53,S
8738043,"West Fowl River Bridge, AL                                        ",30.377,-88.159,1,3.015,21.791,18.776,S
9461380,"Adak Island, AK                                                   ",51.863,-176.632,1,6.632,7.942,1.31,S
9455120,"AGNES COVE,                                                       ",59.773,-149.588,1,16.892,10.937,-5.955,L
9456901,"AGUCHIK ISLAND, KUKAK BAY,                                        ",58.290,-154.270,1,21.556,16.252,-5.304,L
9455145,"AIALIK BAY, NORTH END,                                            ",59.953,-149.715,1,16.804,55.097,38.293,L
9455146,"AIALIK SILL, AIALIK BAY,                                          ",59.885,-149.718,1,16.525,43.914,27.389,L
9468283,"Akeftapak, St. Lawrence Island, AK                                ",63.719,-171.645,0,,,,
9462719,"Akun Cove, Akun Island, AK                                        ",54.233,-165.533,1,5.506,7.228,1.722,S
9462694,"Akutan, Alaska, AK                                                ",54.133,-165.800,1,6.14,42.714,36.574,S
9457804,"Alitak,                                                           ",56.897,-154.248,1,18.502,20.72,2.218,L
9455606,"Anchor Point, Cook Inlet,                                         ",59.772,-151.867,1,28.674,47.449,18.775,XL
9451317,"Anchor Point,                                                     ",56.638,-132.927,1,24.264,22.102,-2.162,XL
9455921,"ANCHORAGE (BACKUP ADR),                                           ",61.238,-149.888,0,,,,
