Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2020-04-17 00:00,12.119,0.020,0,0,0,0,p
2020-04-17 00:06,12.070,0.016,0,0,0,0,p
2020-04-17 00:12,12.024,0.016,0,0,0,0,p
2020-04-17 00:18,11.982,0.013,0,0,0,0,p
2020-04-17 00:24,11.932,0.016,1,0,0,0,p
2020-04-17 00:30,11.867,0.023,0,0,0,0,p
2020-04-17 00:36,11.808,0.020,0,0,0,0,p
2020-04-17 00:42,11.742,0.023,0,0,0,0,p
2020-04-17 00:48,11.673,0.030,0,0,0,0,p
2020-04-17 00:54,11.575,0.030,0,0,0,0,p
2020-04-17 01:00,11.496,0.026,0,0,0,0,p
2020-04-17 01:06,11.398,0.033,0,0,0,0,p
2020-04-17 01:12,11.299,0.026,0,0,0,0,p
2020-04-17 01:18,11.234,0.013,0,0,0,0,p
2020-04-17 01:24,11.148,0.039,0,0,0,0,p
2020-04-17 01:30,11.017,0.036,0,0,0,0,p
2020-04-17 01:36,10.919,0.030,0,0,0,0,p
2020-04-17 01:42,10.797,0.039,0,0,0,0,p
2020-04-17 01:48,10.669,0.036,0,0,0,0,p
2020-04-17 01:54,10.528,0.046,0,0,0,0,p
2020-04-17 02:00,10.381,0.043,0,0,0,0,p
2020-04-17 02:06,10.226,0.052,0,0,0,0,p
2020-04-17 02:12,10.059,0.046,0,0,0,0,p
2020-04-17 02:18,9.908,0.046,0,0,0,0,p
2020-04-17 02:24,9.760,0.049,0,0,0,0,p
2020-04-17 02:30,9.596,0.049,0,0,0,0,p
2020-04-17 02:36,9.416,0.056,0,0,0,0,p
2020-04-17 02:42,9.249,0.052,0,0,0,0,p
2020-04-17 02:48,9.078,0.056,0,0,0,0,p
2020-04-17 02:54,8.894,0.052,0,0,0,0,p
2020-04-17 03:00,8.707,0.056,0,0,0,0,p
2020-04-17 03:06,8.530,0.052,0,0,0,0,p
2020-04-17 03:12,8.327,0.072,0,0,0,0,p
2020-04-17 03:18,8.117,0.056,0,0,0,0,p
2020-04-17 03:24,7.946,0.059,0,0,0,0,p
2020-04-17 03:30,7.756,0.062,0,0,0,0,p
2020-04-17 03:36,7.556,0.062,0,0,0,0,p
2020-04-17 03:42,7.356,0.062,0,0,0,0,p
2020-04-17 03:48,7.162,0.056,0,0,0,0,p
2020-04-17 03:54,6.988,0.056,0,0,0,0,p
2020-04-17 04:00,6.814,0.052,0,0,0,0,p
2020-04-17 04:06,6.634,0.049,0,0,0,0,p
2020-04-17 04:12,6.480,0.043,0,0,0,0,p
2020-04-17 04:18,6.339,0.046,0,0,0,0,p
2020-04-17 04:24,6.194,0.046,0,0,0,0,p
2020-04-17 04:30,6.076,0.033,0,0,0,0,p
2020-04-17 04:36,5.978,0.030,0,0,0,0,p
2020-04-17 04:42,5.889,0.036,0,0,0,0,p
2020-04-17 04:48,5.771,0.043,0,0,0,0,p
2020-04-17 04:54,5.650,0.033,0,0,0,0,p
2020-04-17 05:00,5.535,0.036,0,0,0,0,p
2020-04-17 05:06,5.427,0.046,0,0,0,0,p
2020-04-17 05:12,5.312,0.046,0,0,0,0,p
2020-04-17 05:18,5.207,0.039,0,0,0,0,p
2020-04-17 05:24,5.108,0.039,0,0,0,0,p
2020-04-17 05:30,5.026,0.026,0,0,0,0,p
2020-04-17 05:36,4.984,0.020,0,0,0,0,p
2020-04-17 05:42,4.964,0.020,0,0,0,0,p
2020-04-17 05:48,4.948,0.020,0,0,0,0,p
2020-04-17 05:54,4.964,0.023,1,0,0,0,p
2020-04-17 06:00,4.977,0.023,1,0,0,0,p
2020-04-17 06:06,5.000,0.026,1,0,0,0,p
2020-04-17 06:12,5.062,0.033,0,0,0,0,p
2020-04-17 06:18,5.148,0.030,1,0,0,0,p
2020-04-17 06:24,5.194,0.023,1,0,0,0,p
2020-04-17 06:30,5.249,0.030,0,0,0,0,p
2020-04-17 06:36,5.331,0.036,1,0,0,0,p
2020-04-17 06:42,5.423,0.030,0,0,0,0,p
2020-04-17 06:48,5.518,0.033,0,0,0,0,p
2020-04-17 06:54,5.594,0.033,0,0,0,0,p
2020-04-17 07:00,5.692,0.033,0,0,0,0,p
2020-04-17 07:06,5.784,0.033,0,0,0,0,p
2020-04-17 07:12,5.879,0.030,0,0,0,0,p
2020-04-17 07:18,5.974,0.046,0,0,0,0,p
2020-04-17 07:24,6.132,0.049,0,0,0,0,p
2020-04-17 07:30,6.266,0.039,0,0,0,0,p
2020-04-17 07:36,6.398,0.052,0,0,0,0,p
2020-04-17 07:42,6.565,0.052,0,0,0,0,p
2020-04-17 07:48,6.742,0.052,0,0,0,0,p
2020-04-17 07:54,6.900,0.052,0,0,0,0,p
2020-04-17 08:00,7.051,0.056,0,0,0,0,p
2020-04-17 08:06,7.228,0.056,0,0,0,0,p
2020-04-17 08:12,7.405,0.062,0,0,0,0,p
2020-04-17 08:18,7.585,0.049,0,0,0,0,p
2020-04-17 08:24,7.753,0.059,0,0,0,0,p
2020-04-17 08:30,7.953,0.056,0,0,0,0,p
2020-04-17 08:36,8.133,0.059,0,0,0,0,p
2020-04-17 08:42,8.320,0.059,0,0,0,0,p
2020-04-17 08:48,8.507,0.056,0,0,0,0,p
2020-04-17 08:54,8.688,0.062,0,0,0,0,p
2020-04-17 09:00,8.868,0.046,0,0,0,0,p
2020-04-17 09:06,9.016,0.046,0,0,0,0,p
2020-04-17 09:12,9.177,0.046,0,0,0,0,p
2020-04-17 09:18,9.337,0.056,0,0,0,0,p
2020-04-17 09:24,9.508,0.052,0,0,0,0,p
2020-04-17 09:30,9.678,0.059,0,0,0,0,p
2020-04-17 09:36,9.862,0.056,0,0,0,0,p
2020-04-17 09:42,10.033,0.052,0,0,0,0,p
2020-04-17 09:48,10.213,0.059,0,0,0,0,p
2020-04-17 09:54,10.390,0.056,0,0,0,0,p
2020-04-17 10:00,10.571,0.049,0,0,0,0,p
2020-04-17 10:06,10.725,0.049,0,0,0,0,p
2020-04-17 10:12,10.912,0.059,0,0,0,0,p
2020-04-17 10:18,11.076,0.043,0,0,0,0,p
2020-04-17 10:24,11.224,0.049,0,0,0,0,p
2020-04-17 10:30,11.388,0.049,0,0,0,0,p
2020-04-17 10:36,11.552,0.049,0,0,0,0,p
2020-04-17 10:42,11.696,0.046,0,0,0,0,p
2020-04-17 10:48,11.834,0.039,0,0,0,0,p
2020-04-17 10:54,11.959,0.036,0,0,0,0,p
2020-04-17 11:00,12.044,0.023,0,0,0,0,p
2020-04-17 11:06,12.126,0.030,0,0,0,0,p
2020-04-17 11:12,12.201,0.023,0,0,0,0,p
